rowNum,ids,family,subfamily,genus,subgenus,species,subspecies,scientificNameAuthorship,scientificName,taxonRank
1,,Limoniidae,,,,,,,Limoniidae,family
2,,Cylindrotomidae,,,,,,,Cylindrotomidae,family
3,,Pediciidae,,,,,,,Pediciidae,family
4,,Tipulidae,,,,,,,Tipulidae,family
5,245,Limoniidae,Chioneinae,Amphineurus,,,,"Skuse, 1890",Amphineurus,genus
6,246,Limoniidae,Chioneinae,Amphineurus,Amphineurus,,,"Skuse, 1890",Amphineurus (Amphineurus),subgenus
7,247,Limoniidae,Chioneinae,Amphineurus,Amphineurus,bicinctus,,"Edwards, 1923",Amphineurus (Amphineurus) bicinctus,species
8,248,Limoniidae,Chioneinae,Amphineurus,Amphineurus,bickeli,,"Theischinger, 1996",Amphineurus (Amphineurus) bickeli,species
9,249,Limoniidae,Chioneinae,Amphineurus,Amphineurus,bicorniger,,"Alexander, 1924",Amphineurus (Amphineurus) bicorniger,species
10,250,Limoniidae,Chioneinae,Amphineurus,Amphineurus,breviclavus,,"Alexander, 1924",Amphineurus (Amphineurus) breviclavus,species
11,251,Limoniidae,Chioneinae,Amphineurus,Amphineurus,campbelli,,"Alexander, 1922",Amphineurus (Amphineurus) campbelli,species
12,252,Limoniidae,Chioneinae,Amphineurus,Amphineurus,castroensis,,"Alexander, 1929",Amphineurus (Amphineurus) castroensis,species
13,253,Limoniidae,Chioneinae,Amphineurus,Amphineurus,collessi,,"Theischinger, 1994",Amphineurus (Amphineurus) collessi,species
14,254,Limoniidae,Chioneinae,Amphineurus,Amphineurus,cyathetanus,,"Alexander, 1952",Amphineurus (Amphineurus) cyathetanus,species
15,255,Limoniidae,Chioneinae,Amphineurus,Amphineurus,fergusoni,,"Alexander, 1931",Amphineurus (Amphineurus) fergusoni,species
16,257,Limoniidae,Chioneinae,Amphineurus,Amphineurus,flexuosus,,"Alexander, 1923",Amphineurus (Amphineurus) flexuosus,species
17,258,Limoniidae,Chioneinae,Amphineurus,Amphineurus,hudsoni,,"Edwards, 1923",Amphineurus (Amphineurus) hudsoni,species
18,259,Limoniidae,Chioneinae,Amphineurus,Amphineurus,kandu,,"Theischinger, 1994",Amphineurus (Amphineurus) kandu,species
19,260,Limoniidae,Chioneinae,Amphineurus,Amphineurus,kingi,,"Alexander, 1950",Amphineurus (Amphineurus) kingi,species
20,261,Limoniidae,Chioneinae,Amphineurus,Amphineurus,koghiensis,,"Hynes, 1993",Amphineurus (Amphineurus) koghiensis,species
21,262,Limoniidae,Chioneinae,Amphineurus,Amphineurus,leaski,,"Theischinger, 1996",Amphineurus (Amphineurus) leaski,species
22,263,Limoniidae,Chioneinae,Amphineurus,Amphineurus,longipes,,"(Philippi, 1866)",Amphineurus (Amphineurus) longipes,species
23,264,Limoniidae,Chioneinae,Amphineurus,Amphineurus,lyriformis,,"Alexander, 1923",Amphineurus (Amphineurus) lyriformis,species
24,265,Limoniidae,Chioneinae,Amphineurus,Amphineurus,maculosus,,"(Skuse, 1890)",Amphineurus (Amphineurus) maculosus,species
25,266,Limoniidae,Chioneinae,Amphineurus,Amphineurus,minor,,"Alexander, 1923",Amphineurus (Amphineurus) minor,species
26,267,Limoniidae,Chioneinae,Amphineurus,Amphineurus,minusculus,,"Alexander, 1921",Amphineurus (Amphineurus) minusculus,species
27,268,Limoniidae,Chioneinae,Amphineurus,Amphineurus,molophilinus,,"Alexander, 1922",Amphineurus (Amphineurus) molophilinus,species
28,269,Limoniidae,Chioneinae,Amphineurus,Amphineurus,monteithi,,"Theischinger, 1994",Amphineurus (Amphineurus) monteithi,species
29,270,Limoniidae,Chioneinae,Amphineurus,Amphineurus,nox,,"Alexander, 1922",Amphineurus (Amphineurus) nox,species
30,271,Limoniidae,Chioneinae,Amphineurus,Amphineurus,operculatus,,"Alexander, 1924",Amphineurus (Amphineurus) operculatus,species
31,272,Limoniidae,Chioneinae,Amphineurus,Amphineurus,patya,,"Theischinger, 1994",Amphineurus (Amphineurus) patya,species
32,273,Limoniidae,Chioneinae,Amphineurus,Amphineurus,perarmatus,,"Alexander, 1924",Amphineurus (Amphineurus) perarmatus,species
33,274,Limoniidae,Chioneinae,Amphineurus,Amphineurus,perdecorus,,"Edwards, 1923",Amphineurus (Amphineurus) perdecorus,species
34,275,Limoniidae,Chioneinae,Amphineurus,Amphineurus,pita,,,Amphineurus (Amphineurus) pita,species
35,276,Limoniidae,Chioneinae,Amphineurus,Amphineurus,polycyclus,,"Alexander, 1961",Amphineurus (Amphineurus) polycyclus,species
36,277,Limoniidae,Chioneinae,Amphineurus,Amphineurus,pressus,,"Alexander, 1922",Amphineurus (Amphineurus) pressus,species
37,278,Limoniidae,Chioneinae,Amphineurus,Amphineurus,pulchripes,,"Alexander, 1925",Amphineurus (Amphineurus) pulchripes,species
38,279,Limoniidae,Chioneinae,Amphineurus,Amphineurus,pullybuntor,,"Theischinger, 1994",Amphineurus (Amphineurus) pullybuntor,species
39,280,Limoniidae,Chioneinae,Amphineurus,Amphineurus,senex,,"Alexander, 1922",Amphineurus (Amphineurus) senex,species
40,281,Limoniidae,Chioneinae,Amphineurus,Amphineurus,spectabilis,,"Theischinger, 1996",Amphineurus (Amphineurus) spectabilis,species
41,283,Limoniidae,Chioneinae,Amphineurus,Amphineurus,stewartiae,,"Alexander, 1924",Amphineurus (Amphineurus) stewartiae,species
42,284,Limoniidae,Chioneinae,Amphineurus,Amphineurus,subdecorus,,"Edwards, 1924",Amphineurus (Amphineurus) subdecorus,species
43,285,Limoniidae,Chioneinae,Amphineurus,Amphineurus,submolophilinus,,"Alexander, 1923",Amphineurus (Amphineurus) submolophilinus,species
44,286,Limoniidae,Chioneinae,Amphineurus,Amphineurus,superbus,,"Theischinger, 1996",Amphineurus (Amphineurus) superbus,species
45,287,Limoniidae,Chioneinae,Amphineurus,Amphineurus,tenuipollex,,"Alexander, 1952",Amphineurus (Amphineurus) tenuipollex,species
46,288,Limoniidae,Chioneinae,Amphineurus,Amphineurus,tumidus,,"Alexander, 1923",Amphineurus (Amphineurus) tumidus,species
47,289,Limoniidae,Chioneinae,Amphineurus,Amphineurus,umbraticus,,"(Skuse, 1890)",Amphineurus (Amphineurus) umbraticus,species
48,290,Limoniidae,Chioneinae,Amphineurus,Amphineurus,zborowskii,,"Theischinger, 1996",Amphineurus (Amphineurus) zborowskii,species
