Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,ScientificName,TaxonId,Genome,LastChange,MSLLastChange,ProposalLast Change 
1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Chiyouviridae,,Wargodvirus,,Wargodvirus xiongnu,ICTV202420188,dsDNA,"New,",40,2024.005A.Bathyarchaeia_4newfam.zip
2,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus beppuense,ICTV201908643,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
3,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus umijigokuense,ICTV201908644,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
34,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo1,ICTV20093038,dsDNA,"Renamed,",38,2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
35,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo2,ICTV20093039,dsDNA,"Renamed,",38,2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
36,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo3,ICTV20175570,dsDNA,"Renamed,",38,2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
37,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus anguillidallo1,ICTV20115694,dsDNA,"Renamed,",38,2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
177,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Autographivirales,,Autonotataviridae,Gujervirinae,Pradovirus,,Pradovirus F5,ICTV202421080,dsDNA,"New,",40,2024.045B.Autographivirales.zip
180,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Autographivirales,,Autonotataviridae,Gujervirinae,Pradovirus,,Pradovirus IVIADoCa2,ICTV202421076,dsDNA,"New,",40,2024.045B.Autographivirales.zip
181,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Autographivirales,,Autonotataviridae,Gujervirinae,Pradovirus,,Pradovirus IVIADoCa4,ICTV202421079,dsDNA,"New,",40,2024.045B.Autographivirales.zip
190,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Autographivirales,,Autonotataviridae,Gujervirinae,Pradovirus,,Pradovirus titanX,ICTV202421085,dsDNA,"New,",40,2024.045B.Autographivirales.zip
1961,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Casjensviridae,,Seodaemunguvirus,,Seodaemunguvirus YMC16-01N133,ICTV202112998,dsDNA,"New,",37,2021.015B.R.Casjensviridae.zip
4692,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus R24,ICTV202214535,dsDNA,"New,",38,2022.019B.Casadabanvirus_16nsp.zip
4693,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus R960,ICTV202214539,dsDNA,"New,",38,2022.019B.Casadabanvirus_16nsp.zip
4694,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus spike,ICTV202214537,dsDNA,"New,",38,2022.019B.Casadabanvirus_16nsp.zip
4695,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Cbastvirus,,Cbastvirus ST,ICTV20150801,dsDNA,"Renamed,",37,2021.010B.R.Binomial_names.zip
4696,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Cecivirus,,Cecivirus cv250,ICTV20140257,dsDNA,"Renamed,",37,2021.010B.R.Binomial_names.zip
4697,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Cecivirus,,Cecivirus IEBH,ICTV20140256,dsDNA,"Renamed,",37,2021.010B.R.Binomial_names.zip
6056,Monodnaviria,,Shotokuvirae,,Commensaviricota,,Cardeaviricetes,,Sanitavirales,,Anelloviridae,,Alphatorquevirus,,Alphatorquevirus homin1,ICTV20093096,ssDNA(-),"Moved,",40,2024.012D.Shotokuvirae_newphylum.zip
6057,Monodnaviria,,Shotokuvirae,,Commensaviricota,,Cardeaviricetes,,Sanitavirales,,Anelloviridae,,Alphatorquevirus,,Alphatorquevirus homin2,ICTV20093107,ssDNA(-),"Moved,",40,2024.012D.Shotokuvirae_newphylum.zip
6089,Monodnaviria,,Shotokuvirae,,Commensaviricota,,Cardeaviricetes,,Sanitavirales,,Anelloviridae,,Betatorquevirus,,Betatorquevirus homini13,ICTV202009400,ssDNA(-),"Moved,",40,2024.012D.Shotokuvirae_newphylum.zip
6298,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Sepolyvirales,,Polyomaviridae,,Alphapolyomavirus,,Alphapolyomavirus castoris,ICTV202420097,dsDNA,"New,",40,2024.003D.Polyomaviridae_4ns.zip
6299,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Sepolyvirales,,Polyomaviridae,,Alphapolyomavirus,,Alphapolyomavirus chlopygerythrus,ICTV20153686,dsDNA,"Renamed,",37,2021.007D.R.Polyomaviridae_2ngen_117rensp.zip
6439,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 3,ICTV19760274,dsDNA,"Moved,",35,2019.005G.zip
6440,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 4,ICTV20041476,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf
6580,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Quintoviricetes,,Piccovirales,,Parvoviridae,Densovirinae,Hemiambidensovirus,,Hemiambidensovirus hemipteran1,ICTV20165409,ssDNA(+/-),"Renamed,",38,2022.005D.Parvoviridae_2ngen_49nsp_125rensp.zip
6812,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Circoviridae,,Circovirus,,Circovirus baizhenhe,ICTV202420065,ssDNA,"New,",40,2024.002D.Circoviridae_5ns.zip
6813,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Circoviridae,,Circovirus,,Circovirus ban,ICTV202317747,ssDNA(+/-),"New,",39,2023.002D.Circoviridae_3nsp.zip
6980,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Endolinaviridae,,Hudisavirus,,Hudisavirus runais,ICTV202318411,ssDNA(+/-),"New,",39,2023.019D.Cirlivirales_1nf_4ng_10nsp.zip
6981,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Endolinaviridae,,Hudisavirus,,Hudisavirus sewis,ICTV202318412,ssDNA(+/-),"New,",39,2023.019D.Cirlivirales_1nf_4ng_10nsp.zip
6982,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Vilyaviridae,,Ancalagonvirus,,Ancalagonvirus eol,ICTV202317913,ssDNA(+/-),"New,",39,2023.008F.Arfiviricetes_11ng_19nsp.zip
6983,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Vilyaviridae,,Ancalagonvirus,,Ancalagonvirus maedhros,ICTV202317912,ssDNA(+/-),"New,",39,2023.008F.Arfiviricetes_11ng_19nsp.zip
6984,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cirlivirales,,Vilyaviridae,,Andurilvirus,,Andurilvirus erebor,ICTV202113253,ssDNA(+/-),"New,",37,2021.010F.R.Cressdna_2neword_3newfam_21newgen.zip
7032,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cremevirales,,Smacoviridae,,Felismacovirus,,Felismacovirus avias2,ICTV202317971,ssDNA(+/-),"New,",39,2023.011D.Smacoviridae_59nsp.zip
7033,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cremevirales,,Smacoviridae,,Felismacovirus,,Felismacovirus babas1,ICTV202317973,ssDNA(+/-),"New,",39,2023.011D.Smacoviridae_59nsp.zip
7034,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Arfiviricetes,,Cremevirales,,Smacoviridae,,Felismacovirus,,Felismacovirus canid1,ICTV202317974,ssDNA(+/-),"New,",39,2023.011D.Smacoviridae_59nsp.zip
7565,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Repensiviricetes,,Geplafuvirales,,Geminiviridae,,Begomovirus,,Begomovirus bauri,ICTV19911639,ssDNA(+/-),"Renamed,",39,2023.015P.Geminiviridae_rename_sp.zip
7566,Monodnaviria,,Shotokuvirae,,Cressdnaviricota,,Repensiviricetes,,Geplafuvirales,,Geminiviridae,,Begomovirus,,Begomovirus bemisiaprimi,ICTV20175846,ssDNA(+/-),"Renamed,",39,2023.015P.Geminiviridae_rename_sp.zip
8405,Riboviria,,Orthornavirae,,Duplornaviricota,,Chrymotiviricetes,,Ghabrivirales,Alphatotivirineae,Chrysoviridae,,Alphachrysovirus,,Alphachrysovirus colletotrichi,ICTV201856299,dsRNA,"Moved,",39,2023.015F.Ghabrivirales_reorg.zip
8406,Riboviria,,Orthornavirae,,Duplornaviricota,,Chrymotiviricetes,,Ghabrivirales,Alphatotivirineae,Chrysoviridae,,Alphachrysovirus,,Alphachrysovirus cryphonectriae,ICTV20125712,dsRNA,"Moved,",39,2023.015F.Ghabrivirales_reorg.zip
8730,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Hepelivirales,,Benyviridae,,Benyvirus,,Benyvirus arctii,ICTV20133453,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
8731,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Hepelivirales,,Benyviridae,,Benyvirus,,Benyvirus necrobetae,ICTV19972431,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
8987,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Martellivirales,,Virgaviridae,,Tobamovirus,,Tobamovirus passiflorae,ICTV20125740,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
8988,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Martellivirales,,Virgaviridae,,Tobamovirus,,Tobamovirus plantagonis,ICTV19710319,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
8989,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Martellivirales,,Virgaviridae,,Tobamovirus,,Tobamovirus plumeriae,ICTV20165509,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
9001,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Martellivirales,,Virgaviridae,,Tobravirus,,Tobravirus capsici,ICTV19911854,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
9002,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Martellivirales,,Virgaviridae,,Tobravirus,,Tobravirus pisi,ICTV19710326,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
9003,Riboviria,,Orthornavirae,,Kitrinoviricota,,Alsuviricetes,,Martellivirales,,Virgaviridae,,Tobravirus,,Tobravirus tabaci,ICTV19710327,ssRNA(+),"Renamed,",39,2023.016P.Virgaviridae_and_Benyviridae_rename_sp.zip
15092,Riboviria,,Orthornavirae,,,,,,,,Birnaviridae,,Aquabirnavirus,,Aquabirnavirus ascitae,ICTV19990580,dsRNA,"Renamed,",38,2022.004M.Birnaviridae_sprenamed.zip
15093,Riboviria,,Orthornavirae,,,,,,,,Birnaviridae,,Aquabirnavirus,,Aquabirnavirus salmonidae,ICTV19840276,dsRNA,"Renamed,",38,2022.004M.Birnaviridae_sprenamed.zip
15103,Riboviria,,Orthornavirae,,,,,,,,Permutotetraviridae,,Alphapermutotetravirus,,Alphapermutotetravirus euprosternae,ICTV20042075,ssRNA(+),"Renamed,",39,2023.005S.Tetraviridae_13sprenamed.zip
15104,Riboviria,,Orthornavirae,,,,,,,,Permutotetraviridae,,Alphapermutotetravirus,,Alphapermutotetravirus thoseae,ICTV19991668,ssRNA(+),"Renamed,",39,2023.005S.Tetraviridae_13sprenamed.zip
15135,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Belpaoviridae,,Semotivirus,,Semotivirus mooseanophelae,ICTV20041410,ssRNA-RT,"Renamed,",40,2024.013D.Belpaoviridae_spren_v1.zip
15383,Riboviria,,,,,,,,,,Polymycoviridae,,Polymycovirus,,Polymycovirus aspelaei,ICTV201908686,dsRNA,"Renamed,",39,2023.005F.Polymycoviridae_spren.zip
15384,Riboviria,,,,,,,,,,Polymycoviridae,,Polymycovirus,,Polymycovirus aspergilli,ICTV201908685,dsRNA,"Renamed,",39,2023.005F.Polymycoviridae_spren.zip
15397,Ribozyviria,,,,,,,,,,Kolmioviridae,,Daazvirus,,Daazvirus cynopis,ICTV202009310,ssRNA(-),"New,",36,2020.012D.R.Ribozyviria.zip
15398,Ribozyviria,,,,,,,,,,Kolmioviridae,,Dagazvirus,,Dagazvirus schedorhinotermitis,ICTV202009312,ssRNA(-),"New,",36,2020.012D.R.Ribozyviria.zip
15399,Ribozyviria,,,,,,,,,,Kolmioviridae,,Daletvirus,,Daletvirus boae,ICTV202009304,ssRNA(-),"New,",36,2020.012D.R.Ribozyviria.zip
15766,,,,,,,Naldaviricetes,,Lefavirales,,Baculoviridae,,Alphabaculovirus,,Alphabaculovirus lonobliquae,ICTV201856527,dsDNA,"Renamed,",38,2022.003D.Lefavirales_106rensp.zip
15767,,,,,,,Naldaviricetes,,Lefavirales,,Baculoviridae,,Alphabaculovirus,,Alphabaculovirus lydisparis,ICTV19950518,dsDNA,"Renamed,",38,2022.003D.Lefavirales_106rensp.zip
15848,,,,,,,Naldaviricetes,,,,Nimaviridae,,Whispovirus,,White spot syndrome virus,ICTV20021201,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf
